,AP,x_coordinate(m),y_coordinate(m),floor
204,Bldg4AP16,21613,32759,1.0
205,Bldg4AP17,21613,32759,1.0
206,Bldg4AP18,21613,32759,1.0
207,Bldg4AP19,21613,32759,2.0
208,Bldg4AP20,21613,32759,2.0
209,Bldg4AP21,21613,32759,2.0
210,Bldg4AP22,21613,32759,2.0
211,Bldg4AP23,21613,32759,2.0
212,Bldg4AP24,21613,32759,2.0
213,Bldg4AP25,21613,32759,3.0
214,Bldg4AP26,21613,32759,3.0
215,Bldg4AP27,21613,32759,3.0
216,Bldg4AP28,21613,32759,3.0
217,Bldg4AP29,21613,32759,
218,Bldg4AP30,21613,32759,3.0
219,Bldg4AP31,21613,32759,1.0
220,Bldg4AP32,21613,32759,1.0
221,Bldg4AP33,21613,32759,1.0
222,Bldg4AP34,21613,32759,
223,Bldg5AP1,21620,32840,1.0
224,Bldg6AP1,21742,32802,2.0
225,Bldg6AP2,21742,32802,3.0
226,Bldg6AP3,21742,32802,2.0
227,Bldg6AP4,21742,32802,2.0
228,Bldg6AP5,21742,32802,3.0
229,Bldg6AP6,21742,32802,1.0
230,Bldg6AP7,21742,32802,1.0
231,Bldg6AP8,21742,32802,2.0
232,Bldg6AP9,21742,32802,2.0
233,Bldg6AP10,21742,32802,2.0
234,Bldg6AP11,21742,32802,2.0
235,Bldg6AP12,21742,32802,3.0
236,Bldg6AP13,21742,32802,3.0
237,Bldg6AP14,21742,32802,4.0
238,Bldg6AP15,21742,32802,2.0
239,Bldg6AP16,21742,32802,3.0
240,Bldg6AP17,21742,32802,5.0
241,Bldg6AP18,21742,32802,3.0
242,Bldg6AP19,21742,32802,5.0
243,Bldg6AP20,21742,32802,2.0
244,Bldg6AP21,21742,32802,2.0
245,Bldg6AP22,21742,32802,3.0
246,Bldg6AP23,21742,32802,3.0
247,Bldg6AP24,21742,32802,3.0
248,Bldg6AP25,21742,32802,3.0
249,Bldg6AP26,21742,32802,4.0
250,Bldg6AP27,21742,32802,2.0
251,Bldg6AP28,21742,32802,2.0
252,Bldg6AP29,21742,32802,2.0
253,Bldg6AP30,21742,32802,2.0
254,Bldg6AP31,21742,32802,4.0
255,Bldg6AP32,21742,32802,2.0
256,Bldg6AP33,21742,32802,2.0
257,Bldg6AP34,21742,32802,3.0
258,Bldg6AP35,21742,32802,3.0
259,Bldg6AP36,21742,32802,3.0
260,Bldg6AP37,21742,32802,2.0
261,Bldg6AP38,21742,32802,4.0
262,Bldg6AP39,21742,32802,4.0
263,Bldg7AP1,21504,32831,0.0
264,Bldg8AP1,21824,32886,2.0
265,Bldg8AP2,21824,32886,2.0
266,Bldg8AP3,21824,32886,2.0
267,Bldg8AP4,21824,32886,2.0
268,Bldg8AP5,21824,32886,2.0
269,Bldg8AP6,21824,32886,2.0
270,Bldg8AP7,21804,32861,1.0
271,Bldg8AP8,21804,32861,1.0
272,Bldg8AP9,21804,32861,1.0
273,Bldg8AP10,21804,32861,4.0
274,Bldg8AP11,21804,32861,4.0
275,Bldg8AP12,21804,32861,6.0
276,Bldg8AP13,21804,32861,6.0
277,Bldg8AP14,21804,32861,6.0
278,Bldg8AP15,21804,32861,6.0
279,Bldg8AP16,21804,32861,6.0
280,Bldg8AP17,21804,32861,6.0
281,Bldg8AP18,21804,32861,
282,Bldg8AP19,21804,32861,2.0
283,Bldg8AP20,21804,32861,3.0
284,Bldg8AP21,21804,32861,3.0
