AP,x_coordinate(m),y_coordinate(m),floor
Bldg28AP1,21479,33032,2
Bldg28AP2,21479,33032,2
Bldg28AP3,21479,33032,4
Bldg28AP4,21479,33032,5
Bldg28AP5,21479,33032,4
Bldg28AP6,21479,33032,5
Bldg29AP1,21462,33057,3
Bldg29AP2,21462,33057,3
Bldg29AP3,21462,33057,6
Bldg30AP1,21436,33105,1
Bldg30AP2,21436,33105,2
Bldg30AP3,21436,33105,2
Bldg30_tmp_AP1,21436,33105,NA
Bldg30_tmp_AP2,21436,33105,NA
Bldg30_tmp_AP3,21436,33105,NA
Bldg30_tmp_AP4,21436,33105,NA
Bldg31AP1,21412,33204,2
Bldg31AP2,21412,33204,1
Bldg31AP3,21412,33204,1
Bldg31AP4,21412,33204,1
Bldg31AP5,21412,33204,2
Bldg31AP6,21412,33204,2
Bldg31AP7,21412,33204,3
Bldg31AP8,21412,33204,0
Bldg31AP9,21412,33204,2
Bldg31AP10,21412,33204,2
Bldg31AP11,21412,33204,2
Bldg31AP12,21412,33204,2
Bldg31AP13,21412,33204,2
Bldg31AP14,21412,33204,2
Bldg31AP15,21412,33204,3
Bldg31AP16,21412,33204,3
Bldg31AP17,21412,33204,3
Bldg31AP18,21412,33204,3
Bldg31AP19,21412,33204,3
Bldg31AP20,21412,33204,3
Bldg31AP21,21412,33204,3
Bldg31AP22,21412,33204,3
Bldg31AP23,21412,33204,3
Bldg31AP24,21412,33204,3
Bldg31AP25,21412,33204,4
Bldg31AP26,21412,33204,4
Bldg31AP27,21412,33204,4
Bldg31AP28,21412,33204,4
Bldg31AP29,21412,33204,4
Bldg31AP30,21412,33204,4
Bldg31AP31,21412,33204,4
Bldg31AP32,21412,33204,4
Bldg31AP33,21412,33204,4
Bldg31AP34,21412,33204,NA
Bldg31AP35,21412,33204,1
Bldg31AP36,21412,33204,NA
Bldg32AP1,21455,33152,NA
Bldg32AP2,21455,33152,NA
Bldg33AP1,21505,33247,0
Bldg33AP2,21505,33247,0
Bldg33AP3,21505,33247,0
Bldg33AP4,21505,33247,0
Bldg33AP5,21505,33247,0
Bldg34AP1,21579,33200,NA
Bldg34AP2,21579,33200,4
Bldg34AP3,21579,33200,3
Bldg34AP4,21579,33200,1
Bldg34AP5,21579,33200,1
Bldg34AP6,21579,33200,1
Bldg34AP7,21579,33200,3
Bldg34AP8,21579,33200,3
Bldg34AP9,21579,33200,4
Bldg34AP10,21579,33200,4
Bldg34AP11,21579,33200,4
Bldg34AP12,21579,33200,2
Bldg34AP13,21579,33200,3
Bldg35AP1,21480,33215,1
Bldg35AP2,21480,33215,1
Bldg35AP3,21480,33215,0
Bldg35AP4,21480,33215,2
Bldg35AP5,21480,33215,1
Bldg35AP6,21480,33215,0
Bldg35AP7,21480,33215,0
Bldg35AP8,21480,33215,2
Bldg35AP9,21480,33215,2
Bldg35AP10,21480,33215,3
Bldg35AP11,21480,33215,3
Bldg35AP12,21480,33215,3
Bldg35AP13,21480,33215,4
Bldg35AP14,21480,33215,4
Bldg35AP15,21480,33215,4
Bldg35AP16,21480,33215,1
Bldg35AP17,21480,33215,2
Bldg35AP18,21480,33215,2
Bldg35AP19,21480,33215,2
Bldg35AP20,21480,33215,3
Bldg35AP21,21480,33215,3
Bldg35AP22,21480,33215,3
Bldg35AP23,21480,33215,3
Bldg35AP24,21480,33215,3
Bldg35AP25,21480,33215,3
Bldg35AP26,21480,33215,0
Bldg35AP27,21480,33215,0
Bldg35AP28,21480,33215,1
Bldg35AP29,21480,33215,1
Bldg35AP30,21480,33215,1
Bldg35AP31,21480,33215,1
Bldg35AP32,21480,33215,1
Bldg35AP33,21480,33215,1
Bldg35AP34,21480,33215,1
Bldg35AP35,21480,33215,1
Bldg35AP36,21480,33215,0
Bldg35AP37,21480,33215,0
Bldg35AP38,21480,33215,0
Bldg35AP39,21480,33215,1
Bldg35AP40,21480,33215,1
Bldg36AP1,21366,33402,2
Bldg36AP2,21366,33402,2
Bldg36AP3,21366,33402,4
Bldg36AP4,21366,33402,4
